NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	217	-0.44079435	-2.279161	0.0	0.0	0.0	6036	tags=55%, list=33%, signal=81%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	219	-0.419771	-2.1834176	0.0	0.0	0.0	6762	tags=63%, list=37%, signal=100%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	209	-0.36428645	-1.8827931	0.0	0.0010753354	0.006	5023	tags=39%, list=28%, signal=53%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	224	-0.32246828	-1.683753	0.0	0.005038367	0.038	3664	tags=37%, list=20%, signal=46%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	168	-0.30641857	-1.5362164	0.004115226	0.016683921	0.142	5453	tags=43%, list=30%, signal=62%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	42	-0.35669646	-1.3720279	0.06521739	0.070428126	0.554	1613	tags=21%, list=9%, signal=23%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	159	-0.2737599	-1.3671708	0.014613778	0.06356065	0.573	4201	tags=30%, list=23%, signal=38%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	112	-0.23331219	-1.0747192	0.32921812	0.5131472	1.0	4577	tags=33%, list=25%, signal=44%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	21	-0.328889	-1.0284612	0.41967872	0.6026512	1.0	3373	tags=33%, list=19%, signal=41%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	110	-0.20712425	-0.95591736	0.54198474	0.7821245	1.0	4577	tags=31%, list=25%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	125	-0.194505	-0.92337245	0.62884617	0.81855	1.0	3095	tags=20%, list=17%, signal=24%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	230	-0.16541418	-0.8659407	0.8637317	0.9154544	1.0	2736	tags=15%, list=15%, signal=17%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	205	-0.16642973	-0.8570982	0.85714287	0.86537665	1.0	5792	tags=34%, list=32%, signal=49%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	59	-0.2055423	-0.85377854	0.7326531	0.8107248	1.0	6797	tags=42%, list=38%, signal=68%	
